"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"Jun",162,11,0,"Jun",37.8277777777778
"A",2019,"Jun",162,12,0,"Jun",37.4722222222222
"A",2019,"Jun",162,13,0,"Jun",36.6388888888889
"A",2019,"Jun",162,14,0,"Jun",38.0666666666667
"A",2019,"Jun",162,15,0,"Jun",35.85
"A",2019,"Jun",162,16,0,"Jun",36.4444444444444
"A",2019,"Jun",162,17,0,"Jun",33.5888888888889
"A",2019,"Jun",162,18,0,"Jun",30.2277777777778
"A",2019,"Jun",162,19,0,"Jun",26.7944444444444
"A",2019,"Jun",162,20,0,"Jun",24.2944444444444
"A",2019,"Jun",162,21,0,"Jun",22.9888888888889
"A",2019,"Jun",162,22,0,"Jun",24.0166666666667
"A",2019,"Jun",162,23,0,"Jun",25.2666666666667
"A",2019,"Jun",163,0,0,"Jun",23.5388888888889
"A",2019,"Jun",163,1,0,"Jun",22.5611111111111
"A",2019,"Jun",163,2,0,"Jun",22.0055555555556
"A",2019,"Jun",163,3,0,"Jun",21.4
"A",2019,"Jun",163,4,0,"Jun",22.4666666666667
"A",2019,"Jun",163,5,0,"Jun",21.7277777777778
"A",2019,"Jun",163,6,0,"Jun",21.9055555555556
"A",2019,"Jun",163,7,0,"Jun",24.9944444444444
"A",2019,"Jun",163,8,0,"Jun",30.2444444444444
"A",2019,"Jun",163,9,0,"Jun",34.9444444444444
"A",2019,"Jun",163,10,0,"Jun",37.4777777777778
"A",2019,"Jun",163,11,0,"Jun",38.3055555555556
"A",2019,"Jun",163,12,0,"Jun",39.9388888888889
"A",2019,"Jun",163,13,0,"Jun",39.7444444444444
"A",2019,"Jun",163,14,0,"Jun",39.6944444444444
"A",2019,"Jun",163,15,0,"Jun",41.2611111111111
"A",2019,"Jun",163,16,0,"Jun",38.6111111111111
"A",2019,"Jun",163,17,0,"Jun",36.1277777777778
"A",2019,"Jun",163,18,0,"Jun",34.2555555555556
"A",2019,"Jun",163,19,0,"Jun",31.35
"A",2019,"Jun",163,20,0,"Jun",30.0777777777778
"A",2019,"Jun",163,21,0,"Jun",29.9388888888889
"A",2019,"Jun",163,22,0,"Jun",26.9222222222222
"A",2019,"Jun",163,23,0,"Jun",27.3777777777778
"A",2019,"Jun",164,0,0,"Jun",26.2888888888889
"A",2019,"Jun",164,1,0,"Jun",23.7333333333333
"A",2019,"Jun",164,2,0,"Jun",21.3833333333333
"A",2019,"Jun",164,3,0,"Jun",19.4888888888889
"A",2019,"Jun",164,4,0,"Jun",18.9111111111111
"A",2019,"Jun",164,5,0,"Jun",18.1833333333333
"A",2019,"Jun",164,6,0,"Jun",19.8111111111111
"A",2019,"Jun",164,7,0,"Jun",23.4055555555556
"A",2019,"Jun",164,8,0,"Jun",26.7111111111111
"A",2019,"Jun",164,9,0,"Jun",29.7388888888889
"A",2019,"Jun",164,10,0,"Jun",31.0222222222222
"A",2019,"Jun",164,11,0,"Jun",33.0666666666667
"A",2019,"Jun",164,12,0,"Jun",35.1222222222222
"A",2019,"Jun",164,13,0,"Jun",36.3222222222222
"A",2019,"Jun",164,14,0,"Jun",36.8444444444444
"A",2019,"Jun",164,15,0,"Jun",36.1833333333333
"A",2019,"Jun",164,16,0,"Jun",34.8111111111111
